# night,n_img_proc,n_img_raw,size_img_proc,size_conf_proc,size_cat_proc,size_img_raw
20091112,42,114,3624018.75,1340794.69,298383.75,9847327.50
20091114,65,184,4980839.06,2140104.38,499359.38,13535218.12
20091115,42,114,3666051.56,1338885.00,254373.75,10024993.12
20091116,21,54,2022913.12,651183.75,133908.75,5521058.44
20091117,21,60,1620714.38,697505.62,196385.62,4380148.12
20091120,21,54,2022541.88,647777.81,112694.06,5500943.44
20091121,42,108,3966696.56,1297940.62,258786.56,10801209.38
20091125,28,66,2639081.25,878144.06,134732.81,6601741.88
20091127,21,54,2002921.88,676049.06,111310.31,5452658.44
20091128,21,54,2032751.25,676046.25,107026.88,5523103.12
20091201,21,54,2006690.62,670989.38,112671.56,5484096.56
20091207,21,60,1605417.19,710904.38,163898.44,4374900.00
20091210,21,60,1606935.94,709500.94,162180.00,4365483.75
20091212,14,36,1325832.19,451628.44,74295.00,3632180.62
20091213,42,120,3193813.12,1420785.00,289417.50,8690073.75
20091214,12,31,928535.62,388867.50,60676.88,2403967.50
20091218,66,186,5386432.50,2172690.00,407635.31,15026245.31
20091219,65,170,5344588.12,2122441.88,314409.38,13989915.00
20091220,42,114,3596374.69,1378968.75,230554.69,9821767.50
20091221,21,60,1603105.31,709545.94,103072.50,4380958.12
20091222,21,60,1586370.94,711464.06,161344.69,4306736.25
20091223,42,120,3215030.62,1419589.69,275616.56,8748225.00
20091224,45,120,3727794.38,1464474.38,264740.62,10125435.94
20091225,63,168,5501070.00,2058525.00,398314.69,14936633.44
20091226,63,162,5978584.69,2011516.88,358160.62,16288388.44
20091227,63,162,5926303.12,2013173.44,410228.44,16094320.31
20091228,21,54,1971334.69,673287.19,125462.81,5347018.12
20100103,21,54,1979555.62,670604.06,83309.06,5403448.12
20100104,42,108,3923980.31,1333434.38,256148.44,10687615.31
20100107,84,240,6456889.69,2839930.31,778497.19,17498160.00
20100108,42,120,3071742.19,1431705.94,479984.06,8278104.38
20100109,42,120,3419468.44,1409520.94,272767.50,9392698.12
20100110,21,60,1540684.69,713269.69,212045.62,4165515.00
20100111,37,104,2888325.00,1240008.75,227857.50,7795923.75
20100112,21,60,1606426.88,707287.50,153205.31,4382724.38
20100114,26,69,1941612.19,857691.56,147512.81,5087039.06
20100115,21,60,1609647.19,709664.06,131968.12,4368386.25
20100116,63,180,4829245.31,2126497.50,494741.25,13145557.50
20100117,21,60,1608567.19,708280.31,153911.25,4379428.12
20100118,63,168,5688523.12,2046583.12,381518.44,15489194.06
20100119,63,162,6007542.19,2028088.12,368389.69,16315318.12
20100120,63,168,5721975.00,2051004.38,399265.31,15607020.94
20100121,42,114,3654860.62,1382023.12,224513.44,9974340.00
20100122,42,120,3293935.31,1415070.00,260294.06,8989948.12
20100123,63,174,5145142.50,2092587.19,538995.94,13960164.38
20100124,63,174,5204700.00,2092680.00,564544.69,14122774.69
20100125,63,162,6086247.19,2018981.25,463325.62,16481660.62
20100126,42,108,3993345.00,1345795.31,341142.19,10796855.62
20100127,21,54,2003172.19,673284.38,145718.44,5447410.31
20100128,21,54,2034624.38,673039.69,153621.56,5509884.38
20100129,38,99,3761589.38,1229819.06,372048.75,10385533.12
20100131,77,198,7633352.81,2483330.62,588912.19,20699730.00
20100202,84,216,8002220.62,2689537.50,614674.69,21705505.31
20100209,42,120,3288121.88,1418031.56,402060.94,8888366.25
20100210,112,312,8454121.88,3803765.62,1071666.56,22219256.25
20100211,84,234,6883714.69,2795720.62,619135.31,18736200.00
20100212,105,300,7901631.56,3543862.50,913460.62,21385496.25
20100213,21,60,1585648.12,706770.00,195300.00,4290395.62
20100214,31,81,2329270.31,1052198.44,317210.62,5775274.69
