name,description,unit,type
id,unique ID,None,int64
HSC-G_m_coord_ra,position in ra/dec,rad,float64
HSC-G_m_coord_dec,position in ra/dec,rad,float64
HSC-G_m_parent,unique ID of parent source,None,int64
HSC-G_m_merge_footprint_HSC-G,Detection footprint overlapped with a detection from filter HSC-G,None,bool
HSC-G_m_merge_footprint_HSC-R,Detection footprint overlapped with a detection from filter HSC-R,None,bool
HSC-G_m_merge_footprint_HSC-I,Detection footprint overlapped with a detection from filter HSC-I,None,bool
HSC-G_m_merge_footprint_HSC-Z,Detection footprint overlapped with a detection from filter HSC-Z,None,bool
HSC-G_m_merge_footprint_HSC-Y,Detection footprint overlapped with a detection from filter HSC-Y,None,bool
HSC-G_m_merge_footprint_VISTA-z,Detection footprint overlapped with a detection from filter VISTA-z,None,bool
HSC-G_m_merge_footprint_VISTA-Y,Detection footprint overlapped with a detection from filter VISTA-Y,None,bool
HSC-G_m_merge_footprint_VISTA-J,Detection footprint overlapped with a detection from filter VISTA-J,None,bool
HSC-G_m_merge_footprint_VISTA-H,Detection footprint overlapped with a detection from filter VISTA-H,None,bool
HSC-G_m_merge_footprint_VISTA-Ks,Detection footprint overlapped with a detection from filter VISTA-Ks,None,bool
HSC-G_m_merge_footprint_sky,Detection footprint overlapped with a detection from filter sky,None,bool
HSC-G_m_merge_peak_HSC-G,Peak detected in filter HSC-G,None,bool
HSC-G_m_merge_peak_HSC-R,Peak detected in filter HSC-R,None,bool
HSC-G_m_merge_peak_HSC-I,Peak detected in filter HSC-I,None,bool
HSC-G_m_merge_peak_HSC-Z,Peak detected in filter HSC-Z,None,bool
HSC-G_m_merge_peak_HSC-Y,Peak detected in filter HSC-Y,None,bool
HSC-G_m_merge_peak_VISTA-z,Peak detected in filter VISTA-z,None,bool
HSC-G_m_merge_peak_VISTA-Y,Peak detected in filter VISTA-Y,None,bool
HSC-G_m_merge_peak_VISTA-J,Peak detected in filter VISTA-J,None,bool
HSC-G_m_merge_peak_VISTA-H,Peak detected in filter VISTA-H,None,bool
HSC-G_m_merge_peak_VISTA-Ks,Peak detected in filter VISTA-Ks,None,bool
HSC-G_m_merge_peak_sky,Peak detected in filter sky,None,bool
HSC-G_m_deblend_nChild,Number of children this object has (defaults to 0),None,int32
HSC-G_m_deblend_deblendedAsPsf,Deblender thought this source looked like a PSF,None,bool
HSC-G_m_deblend_psfCenter_x,"If deblended-as-psf, the PSF centroid",pix,float64
HSC-G_m_deblend_psfCenter_y,"If deblended-as-psf, the PSF centroid",pix,float64
HSC-G_m_deblend_psf_instFlux,"If deblended-as-psf, the instrumental PSF flux",ct,float64
HSC-G_m_deblend_tooManyPeaks,Source had too many peaks; only the brightest were included,None,bool
HSC-G_m_deblend_parentTooBig,Parent footprint covered too many pixels,None,bool
HSC-G_m_deblend_masked,Parent footprint was predominantly masked,None,bool
HSC-G_m_deblend_skipped,Deblender skipped this source,None,bool
HSC-G_m_deblend_rampedTemplate,"This source was near an image edge and the deblender used ""ramp"" edge-handling.",None,bool
HSC-G_m_deblend_patchedTemplate,"This source was near an image edge and the deblender used ""patched"" edge-handling.",None,bool
HSC-G_m_deblend_hasStrayFlux,This source was assigned some stray flux,None,bool
HSC-G_m_base_NaiveCentroid_x,centroid from Naive Centroid algorithm,pix,float64
HSC-G_m_base_NaiveCentroid_y,centroid from Naive Centroid algorithm,pix,float64
HSC-G_m_base_NaiveCentroid_flag,General Failure Flag,None,bool
HSC-G_m_base_NaiveCentroid_flag_noCounts,Object to be centroided has no counts,None,bool
HSC-G_m_base_NaiveCentroid_flag_edge,Object too close to edge,None,bool
HSC-G_m_base_NaiveCentroid_flag_resetToPeak,set if CentroidChecker reset the centroid,None,bool
HSC-G_m_base_SdssCentroid_x,centroid from Sdss Centroid algorithm,pix,float64
HSC-G_m_slot_Centroid_x,centroid from Sdss Centroid algorithm,pix,float64
HSC-G_m_base_SdssCentroid_y,centroid from Sdss Centroid algorithm,pix,float64
HSC-G_m_slot_Centroid_y,centroid from Sdss Centroid algorithm,pix,float64
HSC-G_m_base_SdssCentroid_xErr,1-sigma uncertainty on x position,pix,float32
HSC-G_m_slot_Centroid_xErr,1-sigma uncertainty on x position,pix,float32
HSC-G_m_base_SdssCentroid_yErr,1-sigma uncertainty on y position,pix,float32
HSC-G_m_slot_Centroid_yErr,1-sigma uncertainty on y position,pix,float32
HSC-G_m_base_SdssCentroid_flag,General Failure Flag,None,bool
HSC-G_m_base_CircularApertureFlux_flag_badCentroid,General Failure Flag,None,bool
HSC-G_m_base_GaussianFlux_flag_badCentroid,General Failure Flag,None,bool
HSC-G_m_base_InputCount_flag_badCentroid,General Failure Flag,None,bool
HSC-G_m_base_LocalBackground_flag_badCentroid,General Failure Flag,None,bool
HSC-G_m_base_NaiveCentroid_flag_badInitialCentroid,General Failure Flag,None,bool
HSC-G_m_base_PsfFlux_flag_badCentroid,General Failure Flag,None,bool
HSC-G_m_base_SdssShape_flag_badCentroid,General Failure Flag,None,bool
HSC-G_m_base_Variance_flag_badCentroid,General Failure Flag,None,bool
HSC-G_m_slot_Centroid_flag,General Failure Flag,None,bool
HSC-G_m_base_SdssCentroid_flag_edge,Object too close to edge,None,bool
HSC-G_m_base_CircularApertureFlux_flag_badCentroid_edge,Object too close to edge,None,bool
